@RELATION blackjack
@ATTRIBUTE dealer_card	    REAL
@ATTRIBUTE player1_card_sum   REAL
@ATTRIBUTE stand_hit          REAL
@ATTRIBUTE player2_card_1     REAL
@ATTRIBUTE player2_card_2     REAL
@ATTRIBUTE player3_card_1     REAL
@ATTRIBUTE player3_card_2     REAL
@ATTRIBUTE player4_card_1     REAL
@ATTRIBUTE player4_card_2     REAL
@ATTRIBUTE player5_card_1     REAL
@ATTRIBUTE player5_card_2     REAL
@ATTRIBUTE player6_card_1     REAL
@ATTRIBUTE player6_card_2     REAL
@ATTRIBUTE class 	{WIN,DRAW,LOSE}
@DATA
10,18,0,7,9,10,6,5,10,10,10,10,3,DRAW
7,19,0,11,10,10,11,6,6,2,3,10,11,WIN
5,9,1,8,6,2,11,11,8,10,3,10,10,WIN
11,20,0,10,7,10,4,6,5,11,9,10,4,WIN
6,11,0,7,11,7,8,7,7,9,11,10,2,WIN
4,11,0,5,4,10,10,4,10,10,10,9,9,LOSE
10,12,0,9,10,11,10,10,8,10,6,2,10,LOSE
6,14,0,3,2,10,6,5,10,3,8,4,5,WIN
6,16,0,8,9,11,10,4,8,3,10,3,8,WIN
7,16,0,3,10,10,11,3,10,3,8,3,6,LOSE
11,14,0,8,10,10,4,6,5,5,3,6,5,LOSE
4,20,0,3,8,5,10,2,10,4,3,4,5,WIN
10,13,0,5,8,10,5,7,8,11,6,10,2,LOSE
5,16,0,10,9,10,10,2,10,11,8,11,8,WIN
8,21,0,10,2,3,8,4,4,6,10,6,8,WIN
10,17,0,2,10,10,3,10,4,10,3,8,8,DRAW
7,18,0,2,9,6,8,5,5,7,5,10,10,WIN
10,12,0,10,6,6,2,3,10,3,10,7,10,LOSE
9,17,0,11,6,10,10,7,10,10,4,10,8,WIN
9,12,0,8,9,10,9,10,8,10,9,10,8,LOSE
8,7,1,6,10,3,11,2,7,10,2,5,10,DRAW
9,20,0,11,9,10,10,5,9,8,6,6,10,WIN
4,20,0,5,9,11,10,9,10,8,10,3,9,LOSE
6,19,0,10,11,7,7,3,11,7,6,10,10,WIN
11,16,0,2,8,9,5,10,10,2,7,5,6,LOSE
